,Erro Aceleracao x,Erro Aceleracao y,Erro Velocidade x,Erro Velocidade y,Erro Posicao x,Erro Posicao y,Tempo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.00014999999999999736,0.0004,0.01
2,0.0,0.0,0.0,0.0,0.0002999999999999392,0.0007999999999999997,0.02
3,0.0,0.0,1.7763568394002505e-15,0.0,0.00045000000000000595,0.0011999999999999997,0.03
4,0.0,0.0,3.552713678800501e-15,0.0,0.0005999999999999894,0.0015999999999999999,0.04
5,0.0,0.0,3.552713678800501e-15,0.0,0.0007499999999999174,0.0019999999999999983,0.05
6,0.0,0.0,3.552713678800501e-15,0.0,0.0009000000000000119,0.0023999999999999994,0.06
7,0.0,0.0,3.552713678800501e-15,0.0,0.0010499999999998844,0.0028000000000000004,0.07
8,0.0,0.0,3.552713678800501e-15,0.0,0.0011999999999997568,0.003200000000000005,0.08
9,0.0,0.0,5.329070518200751e-15,0.0,0.0013499999999996293,0.003600000000000006,0.09
10,0.0,0.0,7.105427357601002e-15,0.0,0.0014999999999996128,0.003999999999999997,0.1
11,0.0,0.0,8.881784197001252e-15,0.0,0.0016499999999994852,0.004400000000000015,0.11
12,0.0,0.0,7.105427357601002e-15,0.0,0.0017999999999993577,0.004800000000000013,0.12
13,0.0,0.0,8.881784197001252e-15,0.0,0.0019499999999992301,0.00520000000000001,0.13
14,0.0,0.0,8.881784197001252e-15,0.0,0.0020999999999991026,0.005600000000000022,0.14
15,0.0,0.0,8.881784197001252e-15,0.0,0.002249999999999197,0.006000000000000005,0.15
16,0.0,0.0,1.0658141036401503e-14,0.0,0.0023999999999992916,0.006399999999999989,0.16
17,0.0,0.0,8.881784197001252e-15,0.0,0.002549999999998942,0.006799999999999973,0.17
18,0.0,0.0,1.0658141036401503e-14,0.0,0.0026999999999990365,0.007199999999999984,0.18
19,0.0,0.0,1.2434497875801753e-14,0.0,0.002849999999999131,0.00759999999999994,0.19
20,0.0,0.0,1.2434497875801753e-14,0.0,0.0029999999999992255,0.007999999999999952,0.2
21,0.0,0.0,1.2434497875801753e-14,0.0,0.003149999999998876,0.008399999999999908,0.21
22,0.0,0.0,1.2434497875801753e-14,0.0,0.0032999999999985263,0.008799999999999891,0.22
23,0.0,0.0,1.4210854715202004e-14,0.0,0.0034499999999981767,0.00919999999999993,0.23
